X Coordinate,Y Coordinate
500.000000,500.000000
500.624870,475.010415
502.497917,450.083292
505.614461,425.280934
509.966711,400.665335
515.543789,376.298020
522.331755,352.239897
530.313644,328.551096
539.469503,305.290829
549.776449,282.517233
561.208719,260.287231
573.737739,238.656386
587.332193,217.678763
601.958101,197.406797
617.578906,177.891156
634.155566,159.180620
651.646645,141.321955
670.008427,124.359797
689.195016,108.336545
709.158455,93.292248
729.848847,79.264508
751.214476,66.288387
773.201939,54.396320
795.756280,43.618030
818.821123,33.980457
842.338819,25.507690
866.250586,18.220907
890.496656,12.138321
915.016429,7.275135
939.748615,3.643504
964.631399,1.252507
989.602586,0.108118
1014.599761,0.213198
1039.560444,1.567486
1064.422247,4.167595
1089.123028,8.007027
1113.601047,13.076185
1137.795123,19.362399
1161.644783,26.849956
1185.090416,35.520142
1208.073418,45.351287
1230.536346,56.318816
1252.423052,68.395317
1273.678833,81.550605
1294.250559,95.751798
1314.086811,110.963402
1333.138011,127.147394
1351.356538,144.263324
1368.696858,162.268410
1385.115627,181.117649
1400.571808,200.763928
1415.026768,221.158141
1428.444377,242.249314
1440.791098,263.984729
1452.036071,286.310060
1462.151189,309.169504
1471.111170,332.505925
1478.893619,356.260994
1485.479083,380.375335
1490.851101,404.788676
1494.996248,429.439996
1497.904162,454.267679
1499.567575,479.209669
1499.982329,504.203624
1499.147388,529.187072
1497.064838,554.097567
1493.739885,578.872847
1489.180839,603.450986
1483.399096,627.770551
1476.409107,651.770756
1468.228344,675.391614
1458.877253,698.574084
1448.379208,721.260222
1436.760449,743.393324
1424.050016,764.918070
1410.279679,785.780659
1395.483856,805.928945
1379.699530,825.312569
1362.966152,843.883080
1345.325548,861.594062
1326.821810,878.401248
1307.501188,894.262627
1287.411973,909.138556
1266.604378,922.991851
1245.130411,935.787886
1223.043745,947.494679
1200.399586,958.082968
1177.254533,967.526289
1153.666435,975.801037
1129.694251,982.886530
1105.397900,988.765059
1080.838108,993.421929
1056.076263,996.845502
1031.174257,999.027219
1006.194332,999.961629
981.198924,999.646394
956.250508,998.082304
931.411444,995.273268
906.743815,991.226306
882.309279,985.951535
858.168907,979.462137
834.383040,971.774334
811.011129,962.907341
788.111591,952.883321
765.741664,941.727328
743.957261,929.467247
722.812832,916.133721
702.361226,901.760078
682.653562,886.382244
663.739099,870.038655
645.665113,852.770163
628.476780,834.619929
612.217061,815.633319
596.926597,795.857790
582.643608,775.342771
569.403791,754.139539
557.240242,732.301090
546.183360,709.882009
536.260785,686.938332
527.497315,663.527407
519.914857,639.707749
513.532361,615.538894
508.365781,591.081252
504.428030,566.395954
501.728951,541.544701
500.275291,516.589608
