X Coordinate,Y Coordinate
500.000000,500.000000
497.171573,502.828427
494.343146,505.656854
491.514719,508.485281
488.686292,511.313708
485.857864,514.142136
483.029437,516.970563
480.201010,519.798990
477.372583,522.627417
474.544156,525.455844
471.715729,528.284271
468.887302,531.112698
466.058875,533.941125
463.230447,536.769553
460.402020,539.597980
457.573593,542.426407
454.745166,545.254834
451.916739,548.083261
449.088312,550.911688
446.259885,553.740115
443.431458,556.568542
440.603030,559.396970
437.774603,562.225397
434.946176,565.053824
432.117749,567.882251
429.289322,570.710678
426.460895,573.539105
423.632468,576.367532
420.804041,579.195959
417.975613,582.024387
415.147186,584.852814
412.318759,587.681241
409.490332,590.509668
406.661905,593.338095
403.833478,596.166522
401.005051,598.994949
398.176624,601.823376
395.348196,604.651804
392.519769,607.480231
389.691342,610.308658
386.862915,613.137085
384.034488,615.965512
381.206061,618.793939
378.377634,621.622366
375.549207,624.450793
372.720779,627.279221
369.892352,630.107648
367.063925,632.936075
364.235498,635.764502
361.407071,638.592929
358.578644,641.421356
355.750217,644.249783
352.921790,647.078210
350.093362,649.906638
347.264935,652.735065
344.436508,655.563492
341.608081,658.391919
338.779654,661.220346
335.951227,664.048773
333.122800,666.877200
330.294373,669.705627
327.465945,672.534055
324.637518,675.362482
321.809091,678.190909
318.980664,681.019336
316.152237,683.847763
313.323810,686.676190
310.495383,689.504617
307.666956,692.333044
304.838528,695.161472
302.010101,697.989899
299.181674,700.818326
296.353247,703.646753
293.524820,706.475180
290.696393,709.303607
287.867966,712.132034
285.039539,714.960461
282.211111,717.788889
279.382684,720.617316
276.554257,723.445743
273.725830,726.274170
270.897403,729.102597
268.068976,731.931024
265.240549,734.759451
262.412122,737.587878
259.583694,740.416306
256.755267,743.244733
253.926840,746.073160
251.098413,748.901587
248.269986,751.730014
245.441559,754.558441
242.613132,757.386868
239.784705,760.215295
236.956277,763.043723
234.127850,765.872150
231.299423,768.700577
228.470996,771.529004
225.642569,774.357431
222.814142,777.185858
219.985715,780.014285
217.157288,782.842712
215.578289,784.445575
214.023510,786.071942
212.493301,787.721446
210.988006,789.393717
209.507963,791.088379
208.053505,792.805050
206.624960,794.543343
205.222650,796.302869
203.846889,798.083230
202.497987,799.884027
201.176248,801.704854
199.881969,803.545301
198.615441,805.404955
197.376950,807.283397
196.166773,809.180204
194.985184,811.094950
193.832447,813.027204
192.708823,814.976530
191.614564,816.942491
190.549917,818.924645
189.515120,820.922544
188.510408,822.935740
187.536005,824.963779
186.592131,827.006206
185.678999,829.062561
184.796814,831.132380
183.945773,833.215200
183.126070,835.310550
182.337888,837.417959
181.581405,839.536954
180.856791,841.667057
180.164208,843.807789
179.503813,845.958669
178.875755,848.119212
178.280173,850.288933
177.717204,852.467343
177.186973,854.653952
176.689599,856.848269
176.225195,859.049798
175.793865,861.258046
175.395706,863.472516
175.030807,865.692708
174.699251,867.918124
174.401113,870.148263
174.136458,872.382622
173.905348,874.620700
173.707833,876.861993
173.543959,879.105996
173.413763,881.352205
173.317272,883.600114
173.254510,885.849217
173.225490,888.099009
173.230219,890.348983
173.268696,892.598633
173.340912,894.847453
173.446851,897.094936
173.586489,899.340578
173.759795,901.583872
173.966729,903.824315
174.207246,906.061402
174.481290,908.294629
174.788801,910.523495
175.129709,912.747497
175.503937,914.966136
175.911402,917.178912
176.352011,919.385327
176.825665,921.584886
177.332259,923.777092
177.871677,925.961453
178.443799,928.137477
179.048495,930.304675
179.685630,932.462559
180.355061,934.610644
181.056636,936.748446
181.790199,938.875484
182.555583,940.991280
183.352617,943.095357
184.181121,945.187243
185.040909,947.266466
185.931787,949.332560
186.853556,951.385058
187.806007,953.423499
188.788926,955.447424
189.802093,957.456379
190.845279,959.449910
191.918249,961.427571
193.020762,963.388914
194.152571,965.333500
195.313419,967.260891
196.503047,969.170653
197.721187,971.062356
198.967564,972.935575
200.241898,974.789889
201.543902,976.624879
202.873283,978.440134
204.229743,980.235245
205.612976,982.009807
207.022671,983.763422
